YearsExperience,EducationLevel,JobRole,Salary
27,PhD,Manager,145474
0,PhD,Manager,65209
22,Bachelor,HR,93444
3,Bachelor,Software Engineer,47343
26,Bachelor,Manager,126347
2,Master,Analyst,52989
17,Master,Data Scientist,97765
28,Bachelor,Analyst,118747
28,Master,Analyst,128149
13,PhD,Analyst,94292
19,Bachelor,HR,90991
3,Bachelor,Data Scientist,56586
1,Master,HR,36850
14,Bachelor,HR,76174
1,Master,HR,43265
1,Master,Data Scientist,62119
21,PhD,Analyst,118697
7,Master,HR,54414
9,Bachelor,Data Scientist,74924
21,PhD,Analyst,115191
29,Bachelor,Analyst,120269
4,PhD,Analyst,71736
25,Master,Manager,140585
16,Bachelor,Analyst,86348
1,Bachelor,HR,35388
16,Master,HR,88577
8,Master,Analyst,78641
10,Bachelor,Analyst,63668
29,Bachelor,Data Scientist,124297
4,PhD,Data Scientist,71430
6,Master,Data Scientist,65201
18,Bachelor,Data Scientist,97940
15,PhD,HR,88112
23,Bachelor,Data Scientist,120505
25,Master,Software Engineer,124937
27,PhD,Analyst,140641
15,Bachelor,Software Engineer,86921
7,Master,Manager,87946
30,Bachelor,Analyst,119015
21,PhD,HR,105225
1,Bachelor,HR,26460
27,Master,Data Scientist,132714
11,Master,HR,83378
23,Master,Analyst,117345
21,Master,HR,100295
30,PhD,Manager,150896
16,Bachelor,HR,76168
25,PhD,Analyst,128205
7,Bachelor,Manager,70371
5,Master,Software Engineer,59880
20,Bachelor,Analyst,96808
22,Bachelor,Manager,117387
20,Master,Manager,124617
17,Bachelor,Manager,102866
15,Bachelor,Data Scientist,95192
14,PhD,Manager,106837
29,Bachelor,Analyst,118008
9,PhD,HR,73764
28,Bachelor,HR,114640
6,Bachelor,Software Engineer,49474
18,Master,Manager,125237
18,PhD,Software Engineer,116764
27,PhD,HR,126467
8,PhD,HR,81880
2,Master,HR,47934
6,Master,Data Scientist,70850
9,Master,Manager,82117
18,Master,Data Scientist,106336
0,Bachelor,Manager,52448
3,Master,Data Scientist,64950
2,PhD,Data Scientist,68686
7,PhD,Manager,97842
29,Master,Manager,152229
12,PhD,Analyst,97414
19,PhD,Analyst,114541
8,PhD,Manager,95588
18,Master,Data Scientist,99851
20,Bachelor,Analyst,96069
1,PhD,HR,56402
10,PhD,Data Scientist,95580
26,Bachelor,Analyst,115304
5,Bachelor,Data Scientist,62179
16,PhD,Manager,112854
29,Bachelor,Analyst,114063
13,Bachelor,Manager,91347
11,PhD,HR,81061
27,Master,Data Scientist,138836
2,PhD,Data Scientist,68146
30,Bachelor,HR,126867
25,Bachelor,Manager,124623
11,PhD,Software Engineer,95386
9,Master,Manager,91168
16,Master,Software Engineer,91900
8,PhD,Software Engineer,78779
8,PhD,Manager,88405
2,Bachelor,Software Engineer,43873
4,Bachelor,HR,48949
10,PhD,HR,76958
18,PhD,Data Scientist,122291
3,PhD,Software Engineer,68776
23,Bachelor,Software Engineer,105804
14,Master,HR,83300
30,Bachelor,Analyst,116890
28,PhD,HR,128564
24,Bachelor,Manager,124452
26,PhD,Data Scientist,139897
25,Bachelor,Software Engineer,115260
27,PhD,Data Scientist,148586
16,Bachelor,Manager,105425
9,PhD,Data Scientist,93402
30,Bachelor,HR,127683
8,Bachelor,Software Engineer,70993
21,Master,HR,100922
4,Bachelor,Data Scientist,64335
29,Master,Manager,147652
16,Master,Analyst,95306
29,Master,Data Scientist,146687
28,PhD,HR,131947
21,PhD,HR,109475
20,Master,Software Engineer,107570
9,Master,Data Scientist,81947
16,Master,Software Engineer,101638
24,Bachelor,Software Engineer,104440
7,PhD,Data Scientist,79203
6,Bachelor,HR,48799
15,PhD,Analyst,102655
24,Bachelor,Manager,113592
16,Bachelor,Manager,96413
12,PhD,Software Engineer,97076
7,PhD,Manager,85906
11,PhD,Data Scientist,102065
16,Bachelor,Software Engineer,91691
0,Master,Data Scientist,50968
4,Bachelor,Software Engineer,53761
28,Master,HR,119888
26,Master,HR,113570
13,Master,Software Engineer,88589
4,Bachelor,HR,43075
22,PhD,Manager,132670
5,PhD,Data Scientist,82864
0,Bachelor,Analyst,35802
21,Bachelor,HR,84418
7,PhD,Manager,84460
4,PhD,Analyst,63079
26,Bachelor,Software Engineer,121518
25,Master,Manager,130539
27,Master,Software Engineer,131939
23,Master,Analyst,105751
14,PhD,Data Scientist,106310
18,Bachelor,Analyst,88391
7,Bachelor,HR,52975
10,PhD,Analyst,89313
7,PhD,HR,65417
5,Master,HR,62749
14,Master,HR,88937
18,Bachelor,HR,76621
2,Bachelor,Analyst,43755
22,Bachelor,Software Engineer,105902
26,PhD,Data Scientist,142137
2,PhD,Analyst,55939
11,PhD,HR,92132
12,Master,HR,66537
29,Master,Manager,144988
26,Bachelor,Manager,124420
22,Bachelor,HR,105607
20,Master,Software Engineer,115672
30,Master,HR,133424
27,Bachelor,Manager,129707
23,Master,Manager,131783
0,Bachelor,Data Scientist,31669
1,PhD,Manager,79397
5,Bachelor,Data Scientist,58266
29,Master,Manager,153715
22,Bachelor,Manager,121062
5,Master,Data Scientist,70237
29,Bachelor,Software Engineer,137068
13,Master,Manager,88370
3,PhD,HR,59137
19,Bachelor,Analyst,92672
6,Master,Software Engineer,59531
29,Bachelor,HR,109733
22,Bachelor,Analyst,106896
14,Master,Data Scientist,96826
26,Master,Software Engineer,135307
3,Master,Data Scientist,65432
8,Bachelor,Manager,68296
1,PhD,Manager,76458
16,Bachelor,HR,76362
29,PhD,Analyst,145033
19,Bachelor,Analyst,86063
0,PhD,Data Scientist,69701
13,Bachelor,Data Scientist,85223
18,Bachelor,Software Engineer,92459
18,Bachelor,Manager,102801
18,PhD,Software Engineer,98833
7,PhD,Analyst,76924
22,PhD,Analyst,114337
21,PhD,Software Engineer,132399
30,Master,Software Engineer,142466
5,Master,Data Scientist,76988
5,PhD,Data Scientist,74794
16,PhD,Software Engineer,104920
17,PhD,Analyst,99751
15,Master,HR,84186
5,PhD,Analyst,75165
3,Bachelor,Manager,59215
4,Bachelor,Manager,62760
22,Bachelor,Analyst,106701
2,Bachelor,Data Scientist,48659
1,Master,Manager,63511
8,PhD,Data Scientist,95124
15,PhD,Analyst,101593
10,Master,Software Engineer,81677
1,Bachelor,Software Engineer,46216
4,Master,Software Engineer,70065
11,PhD,Software Engineer,90675
11,Bachelor,HR,58610
24,Master,Data Scientist,129192
2,PhD,Software Engineer,63976
22,Bachelor,Manager,119784
8,PhD,Manager,101374
19,PhD,Manager,127604
6,PhD,HR,65668
1,Bachelor,Analyst,43361
3,Master,Software Engineer,47799
27,Master,Data Scientist,131529
24,Master,Analyst,118947
22,Master,Data Scientist,128934
2,Bachelor,Software Engineer,44214
10,Bachelor,HR,49062
3,Master,Data Scientist,65450
15,Master,HR,82719
30,Bachelor,Data Scientist,142958
8,Master,HR,59574
29,Master,Manager,153435
14,Master,Software Engineer,97858
17,Master,Manager,112775
10,PhD,Software Engineer,93627
2,Bachelor,Data Scientist,54074
19,PhD,Data Scientist,128387
9,Bachelor,Software Engineer,63451
9,Master,Manager,98454
24,PhD,Data Scientist,129916
14,PhD,Analyst,95487
10,Bachelor,HR,69794
10,PhD,Analyst,87324
12,PhD,Analyst,86769
3,Bachelor,Manager,54363
2,PhD,Analyst,57986
6,Bachelor,Analyst,44978
7,Bachelor,Data Scientist,63984
19,Bachelor,Analyst,87236
27,Bachelor,Data Scientist,119536
29,Bachelor,Manager,142161
25,Master,Analyst,118681
11,Master,Software Engineer,87459
4,Bachelor,HR,40444
14,PhD,Data Scientist,112966
17,PhD,Software Engineer,106880
30,Bachelor,Manager,139750
14,Bachelor,Software Engineer,76815
11,PhD,Manager,98250
20,Master,Software Engineer,112699
9,Master,Analyst,66561
19,Master,Manager,125472
0,Master,Manager,61206
9,Bachelor,Data Scientist,70478
8,PhD,Manager,96645
15,Master,Software Engineer,95240
5,PhD,Manager,81720
12,Bachelor,Analyst,75195
7,Bachelor,Manager,60318
25,Bachelor,HR,101946
4,PhD,Manager,89548
2,Master,HR,49588
16,Master,Analyst,87237
25,Bachelor,Manager,133917
21,PhD,Data Scientist,130340
3,Bachelor,HR,42763
30,Bachelor,Data Scientist,138211
28,PhD,Analyst,141388
1,PhD,Software Engineer,57582
1,PhD,Analyst,56556
12,Bachelor,Analyst,67425
30,PhD,HR,138266
18,Master,Software Engineer,94905
15,Master,Software Engineer,88999
5,Bachelor,Software Engineer,52253
7,PhD,Software Engineer,86023
23,PhD,Analyst,131064
27,Master,HR,122957
26,Bachelor,Data Scientist,122537
5,Master,Analyst,60512
6,Bachelor,HR,59710
15,Master,Data Scientist,109316
4,Bachelor,Manager,65404
25,PhD,Manager,139136
1,Bachelor,Manager,47713
14,PhD,Data Scientist,109078
21,Master,Analyst,104168
23,Master,Analyst,131675
18,Bachelor,Software Engineer,95943
23,Bachelor,HR,102700
10,Master,HR,67598
10,Bachelor,Manager,88664
0,PhD,Data Scientist,65228
0,PhD,Data Scientist,66937
3,Bachelor,Data Scientist,51813
24,Bachelor,HR,102385
4,Master,HR,51337
20,Master,Analyst,107362
0,Master,Software Engineer,38333
8,PhD,Data Scientist,93574
23,PhD,Analyst,117701
9,Master,HR,61579
6,Master,Analyst,65406
6,Bachelor,Data Scientist,65294
1,PhD,HR,58290
20,PhD,Analyst,120433
17,Master,Data Scientist,105197
5,Bachelor,Manager,63654
23,Bachelor,Data Scientist,108061
4,PhD,Software Engineer,76020
14,PhD,Data Scientist,98199
25,PhD,Analyst,117279
28,Master,Software Engineer,138018
6,Bachelor,Software Engineer,52660
8,Master,Manager,79558
12,Master,Data Scientist,91734
0,PhD,Data Scientist,67560
5,PhD,HR,72088
9,Bachelor,HR,64891
5,Master,Software Engineer,62299
15,Master,Manager,100741
11,Master,Data Scientist,87435
4,PhD,Analyst,74243
27,Bachelor,Manager,125149
15,Bachelor,Analyst,77186
13,PhD,Data Scientist,102952
10,PhD,Software Engineer,87443
15,Bachelor,Analyst,81684
29,Master,Data Scientist,139602
23,Master,HR,115107
23,Master,HR,108045
16,Master,Software Engineer,111373
16,PhD,HR,97708
27,Bachelor,Software Engineer,114805
1,Master,Software Engineer,51581
25,PhD,Manager,140345
1,PhD,Software Engineer,61825
22,Master,Software Engineer,120812
12,PhD,Analyst,101454
6,Master,Data Scientist,81175
4,Master,Manager,65579
10,Master,Analyst,69411
29,Bachelor,Data Scientist,140889
14,Master,Software Engineer,100376
29,Bachelor,Data Scientist,140545
28,PhD,Data Scientist,146988
5,Master,Software Engineer,71913
20,Bachelor,Analyst,91447
0,PhD,Data Scientist,64156
19,Master,Manager,119516
1,Bachelor,Manager,52061
20,PhD,Data Scientist,129855
24,PhD,Manager,143553
13,PhD,Analyst,85733
19,Master,Data Scientist,109522
28,Master,HR,121325
18,Bachelor,HR,85372
17,Master,Analyst,87840
15,Master,Analyst,89318
30,PhD,Manager,150357
0,Master,Software Engineer,61560
23,Bachelor,Analyst,107279
30,PhD,Analyst,148486
21,PhD,Analyst,125798
19,PhD,Manager,130431
23,PhD,Manager,143271
21,Bachelor,Manager,115734
9,PhD,Analyst,82159
9,Master,Analyst,73437
25,PhD,Software Engineer,137708
3,PhD,Software Engineer,72578
23,PhD,Software Engineer,125349
30,PhD,Manager,163585
2,Master,Software Engineer,58591
26,Master,HR,115769
17,Bachelor,HR,72453
2,Bachelor,Manager,58829
20,Bachelor,Analyst,85446
1,Bachelor,Manager,49332
30,Bachelor,HR,115178
29,PhD,Analyst,134246
15,Master,Manager,109299
10,Bachelor,Data Scientist,66686
7,Bachelor,Manager,65737
16,Master,Manager,103902
1,Bachelor,Data Scientist,57667
28,Bachelor,HR,125145
17,PhD,Analyst,108081
14,Master,Software Engineer,97504
25,Bachelor,Data Scientist,115109
5,PhD,Analyst,68515
9,Bachelor,Data Scientist,70456
29,Master,HR,122872
22,Master,Analyst,114851
2,Master,Analyst,52307
26,PhD,Data Scientist,142844
5,Bachelor,HR,35230
23,Master,Analyst,122792
4,PhD,Data Scientist,80091
7,PhD,Manager,95949
16,Bachelor,Data Scientist,91634
19,Master,HR,97566
2,PhD,Data Scientist,81013
9,Master,Manager,80943
6,PhD,Software Engineer,77684
27,Master,Data Scientist,133061
22,Bachelor,Data Scientist,108043
9,Bachelor,Manager,81563
25,PhD,Software Engineer,128763
13,Master,Manager,99685
16,PhD,Manager,107357
15,Bachelor,HR,78193
2,PhD,HR,54970
17,Bachelor,Manager,105586
23,PhD,Software Engineer,131707
4,Bachelor,Manager,63354
28,Master,Software Engineer,134838
7,Bachelor,Manager,65303
13,Bachelor,Software Engineer,73544
13,Bachelor,Data Scientist,77941
24,Master,Manager,129622
0,Master,Software Engineer,49334
23,Bachelor,Analyst,101328
18,Bachelor,Manager,104907
11,Bachelor,Software Engineer,77160
3,Bachelor,Data Scientist,51589
26,PhD,Software Engineer,136557
22,Bachelor,Analyst,107988
26,PhD,Software Engineer,137668
21,Master,Data Scientist,121694
11,Master,Analyst,73372
26,Master,HR,111164
13,Master,Software Engineer,92790
2,Master,Data Scientist,56702
14,Master,Analyst,79834
17,Bachelor,Manager,96661
19,PhD,Manager,125668
0,Master,Software Engineer,50262
19,Bachelor,HR,97719
11,Bachelor,Software Engineer,73653
23,Bachelor,Software Engineer,111885
23,PhD,HR,111452
7,PhD,HR,64603
0,Master,HR,34033
21,Master,HR,101485
26,Master,Data Scientist,126931
24,PhD,Manager,151081
6,Master,Manager,78194
13,PhD,Analyst,90036
3,PhD,Software Engineer,74022
23,Bachelor,Data Scientist,108980
4,PhD,Data Scientist,78085
2,Master,Software Engineer,53613
2,Bachelor,Manager,57506
20,Bachelor,Analyst,85771
30,Bachelor,Data Scientist,140923
23,PhD,Data Scientist,134012
7,Bachelor,Analyst,55192
11,PhD,Analyst,84204
28,PhD,Analyst,130664
28,Bachelor,HR,115884
21,Master,HR,102442
4,PhD,HR,63969
28,Bachelor,HR,110479
2,Master,Data Scientist,64493
18,Bachelor,Manager,104835
18,Bachelor,Data Scientist,95394
22,Master,Software Engineer,113101
29,PhD,Analyst,143718
4,Bachelor,Analyst,47834
5,PhD,Manager,87334
8,Master,Analyst,71974
22,Bachelor,Manager,109898
2,Bachelor,Analyst,48352
23,Bachelor,Manager,123350
3,Bachelor,Analyst,35624
22,Master,HR,98728
12,Master,Data Scientist,85147
19,PhD,Data Scientist,122895
26,Master,HR,119079
3,Bachelor,Analyst,45063
15,Master,Analyst,93821
30,Bachelor,Data Scientist,131740
15,Master,Analyst,95663
12,Bachelor,Analyst,69162
19,PhD,Data Scientist,127440
7,Master,Manager,71081
9,PhD,Data Scientist,96088
28,Bachelor,Analyst,126662
1,Bachelor,HR,33074
2,PhD,Data Scientist,73446
10,PhD,HR,80509
0,PhD,HR,59441
13,Bachelor,Data Scientist,74120
30,PhD,Data Scientist,157776
14,Master,Analyst,91098
17,Bachelor,Software Engineer,84998
18,Master,Software Engineer,106014
21,Bachelor,Manager,120757
11,Master,Manager,87980
25,PhD,Data Scientist,140156
26,Bachelor,Analyst,119268
11,Master,HR,73920
22,PhD,Analyst,120647
7,Master,Data Scientist,77389
4,PhD,Software Engineer,73242
5,Master,Analyst,67138
13,PhD,Analyst,94345
21,Bachelor,Software Engineer,103749
29,Master,HR,129612
1,PhD,Manager,75971
27,PhD,Analyst,131329
20,Master,HR,105672
20,PhD,Analyst,111539
30,Master,Data Scientist,146946
22,Master,Analyst,111731
25,Bachelor,Manager,122956
14,PhD,Analyst,101413
10,Master,Software Engineer,77769
23,PhD,HR,117624
22,Bachelor,Manager,119561
2,Master,Analyst,37333
14,Bachelor,HR,76353
4,Bachelor,Data Scientist,54478
8,Master,Analyst,72239
28,Master,Data Scientist,142285
20,PhD,HR,109223
30,PhD,Manager,162027
1,Master,Analyst,41781
28,PhD,Software Engineer,142664
15,PhD,Manager,117108
20,PhD,HR,107269
6,Bachelor,Manager,56020
16,Bachelor,Manager,91356
20,PhD,HR,114925
24,PhD,Manager,146553
15,Bachelor,Software Engineer,95865
15,Master,Analyst,99604
20,PhD,HR,114849
13,PhD,Manager,111071
8,PhD,Data Scientist,93082
13,Master,HR,75263
20,Bachelor,HR,94726
23,Master,HR,103514
29,Master,Data Scientist,144504
4,Bachelor,Manager,66797
21,Master,Analyst,105867
16,Bachelor,Software Engineer,87889
29,PhD,Data Scientist,145079
17,Bachelor,Analyst,82034
26,Bachelor,Analyst,109425
5,Bachelor,Manager,59014
1,PhD,Analyst,46269
21,PhD,Analyst,114050
8,Bachelor,Data Scientist,77484
26,Master,HR,121005
0,PhD,Data Scientist,61986
20,Bachelor,HR,93075
17,PhD,HR,108698
10,Master,Software Engineer,71288
18,Bachelor,HR,85519
11,PhD,Analyst,90658
20,PhD,Software Engineer,131282
30,Master,Manager,148434
0,Master,Manager,62085
13,PhD,Manager,104555
20,Bachelor,Software Engineer,85653
2,Master,HR,47795
0,Master,Data Scientist,49155
15,Master,HR,83079
17,Bachelor,Software Engineer,91353
11,Master,Software Engineer,87225
11,Master,Software Engineer,71188
13,Bachelor,Analyst,74093
13,Bachelor,Software Engineer,74244
17,Master,Manager,111289
15,Bachelor,Analyst,84786
25,PhD,Manager,146332
5,PhD,Manager,84360
11,Master,Data Scientist,77100
22,PhD,Analyst,115433
26,Master,Data Scientist,119263
24,Bachelor,Software Engineer,113043
22,Bachelor,Analyst,103446
7,Bachelor,Data Scientist,56692
0,Bachelor,HR,28780
28,Bachelor,Manager,136988
9,Bachelor,Analyst,65377
2,PhD,Manager,72798
27,Master,Analyst,122345
25,Bachelor,Software Engineer,115714
8,Bachelor,HR,54799
25,Master,Analyst,125390
12,Master,Manager,100270
21,Master,Manager,130388
20,Bachelor,Software Engineer,101100
20,Bachelor,Manager,108860
5,PhD,HR,62414
5,Master,Manager,77238
26,PhD,Manager,144297
10,Master,Data Scientist,77023
25,Master,Manager,143486
23,Bachelor,Manager,121667
30,PhD,Manager,162557
16,Bachelor,Analyst,86500
6,Master,Data Scientist,76106
8,Bachelor,Software Engineer,55823
1,Master,Analyst,50070
11,Master,HR,70172
13,PhD,Data Scientist,98651
30,Master,Software Engineer,138923
17,Master,Manager,110832
11,PhD,HR,72906
9,Bachelor,Data Scientist,67600
7,Bachelor,Software Engineer,63072
30,PhD,Data Scientist,160690
10,Master,Data Scientist,85018
3,PhD,Analyst,72555
5,Bachelor,Software Engineer,56833
11,Master,Manager,88665
11,PhD,Data Scientist,97258
20,PhD,Data Scientist,120057
27,Bachelor,HR,106574
27,Bachelor,Analyst,115774
21,PhD,HR,111522
14,PhD,Manager,112971
26,Master,Data Scientist,133722
15,Bachelor,Manager,95422
8,Master,Data Scientist,76402
23,Master,Software Engineer,122164
29,Master,Data Scientist,147292
